experiment,method,dataset,accuracy,f1,trainable_params,duration_min
lora_r4_baseline,lora,sst2,0.8911,0.8943,665858,35.52789258333333
lora_r8_baseline,lora,sst2,0.906,0.9083,739586,36.20481628333334
lora_r12_baseline,lora,sst2,0.9151,0.9172,813314,35.91985698333334
ba_lora_37k,ba_lora,sst2,0.8956,0.8981,628994,37.5394864
ba_lora_75k,ba_lora,sst2,0.9037,0.9071,665858,37.37676315
ba_lora_145k,ba_lora,sst2,0.9048,0.9077,739586,38.00016028333334
ba_lora_145k_43,ba_lora,sst2,0.9071,0.9099,739586,38.120308933333334
ba_lora_fixed_ws,ba_lora,sst2,0.8716,0.8744,739586,42.48680016666666
lora_baseline_fixed_ws,lora,sst2,0.883,0.8874,739586,34.909201116666665
lora_50k,lora,sst2,0.8876,0.8916,647426,35.168937199999995
ba_lora_50k_ws,ba_lora,sst2,0.8635,0.867,641282,51.3811943
ba_lora_55296_nowarm,ba_lora,sst2,0.8876,0.8911,647426,38.3026822
ba_lora_55296_nowarm,ba_lora,sst2,0.8853,0.8876,647426,38.229853416666664
