experiment,method,dataset,accuracy,f1,trainable_params,duration_min
lora_ag_news_r2,lora,ag_news,0.9165,0.9164,630532,18.676528466666664
roberta_lora_ag_news_r2,lora,ag_news,0.9219,0.9218,667396,30.561482016666663
roberta_lora_ag_news_r3,lora,ag_news,0.9225,0.9224,704260,33.47527073333333
lora_ag_news_r4,lora,ag_news,0.917,0.9168,667396,17.81888985
lora_ag_news_r6,lora,ag_news,0.9167,0.9165,704260,17.102724433333332
lora_ag_news_r8,lora,ag_news,0.9157,0.9156,741124,17.177610683333334
lora_ag_news_r8,lora,ag_news,0.9157,0.9156,741124,13.189668483333332
lora_ag_news_r12,lora,ag_news,0.9171,0.9169,814852,16.0450522
roberta_lora_ag_news_r1,lora,ag_news,0.9215,0.9214,630532,57.06175195
roberta_lora_ag_news_r2,lora,ag_news,0.9217,0.9216,667396,40.20195636666666
roberta_lora_ag_news_r3,lora,ag_news,0.922,0.9219,704260,44.96981075
roberta_lora_ag_news_r4,lora,ag_news,0.9221,0.922,741124,36.70477453333333
roberta_lora_ag_news_r6,lora,ag_news,0.9229,0.9228,814852,20.2096641
roberta_lora_ag_news_r8,lora,ag_news,0.9232,0.923,888580,20.051997016666668
roberta_lora_ag_news_r12,lora,ag_news,0.9223,0.9221,1036036,20.605124616666668
ba_ag_news_r2_nowarm,ba_lora,ag_news,0.9109,0.9107,630532,18.98627873333333
ba_ag_news_r3_nowarm,ba_lora,ag_news,0.9117,0.9116,648964,19.44095738333333
ba_ag_news_r4_nowarm,ba_lora,ag_news,0.9127,0.9125,667396,14.606959316666666
ba_ag_news_r6_nowarm,ba_lora,ag_news,0.9154,0.9153,704260,14.771436483333334
ba_sst2_r8_nowarm,ba_lora,sst2,0.875,0.8774,739586,8.88007805
ba_sst2_r12_nowarm,ba_lora,sst2,0.8842,0.8866,813314,8.929166983333333
ba_ag_news_r8_nowarm,ba_lora,ag_news,0.9169,0.9168,741124,13.14720535
ba_ag_news_r12_nowarm,ba_lora,ag_news,0.9202,0.92,814852,13.202194566666666
roberta_ba_ag_news_r1_nowarm,ba_lora,ag_news,0.9257,0.9256,630532,82.90693063333333
roberta_ba_ag_news_r2_nowarm,ba_lora,ag_news,0.9197,0.9196,667396,22.42515415
roberta_ba_ag_news_r3_nowarm,ba_lora,ag_news,0.9207,0.9205,704260,21.98537465
roberta_ba_ag_news_r4_nowarm,ba_lora,ag_news,0.9206,0.9204,741124,22.104125216666667
roberta_ba_ag_news_r6_nowarm,ba_lora,ag_news,0.9227,0.9225,814852,23.1117004
roberta_ba_ag_news_r8_nowarm,ba_lora,ag_news,0.9229,0.9228,888580,25.121920566666667
roberta_ba_ag_news_r12_nowarm,ba_lora,ag_news,0.9235,0.9234,1036036,23.61306255
