experiment,method,dataset,accuracy,f1,trainable_params,duration_min
lora_imdb_r2,lora,imdb,0.8948,0.8948,628994,5.615465216666666
lora_imdb_r3,lora,imdb,0.8928,0.893,647426,5.568821683333334
lora_imdb_r4,lora,imdb,0.8952,0.895,665858,5.5735863000000005
lora_imdb_r6,lora,imdb,0.8948,0.8947,702722,5.497013616666666
lora_imdb_r8,lora,imdb,0.8956,0.8953,739586,5.44866065
lora_imdb_r12,lora,imdb,0.8952,0.8949,813314,5.590859066666667
ba_imdb_r2_nowarm,ba_lora,imdb,0.882,0.8806,628994,4.617811416666667
ba_imdb_r3_nowarm,ba_lora,imdb,0.8856,0.8846,647426,4.479285633333333
ba_imdb_r4_nowarm,ba_lora,imdb,0.888,0.8873,665858,4.533217233333334
ba_imdb_r6_nowarm,ba_lora,imdb,0.892,0.8916,702722,4.3938059166666665
ba_imdb_r8_nowarm,ba_lora,imdb,0.8948,0.8948,739586,4.468176716666666
ba_imdb_r12_nowarm,ba_lora,imdb,0.8984,0.8979,813314,4.5258067
roberta_lora_imdb_r1,lora,imdb,0.932,0.9317,628994,8.88842365
roberta_lora_imdb_r2,lora,imdb,0.9336,0.9333,665858,8.747157033333334
roberta_lora_imdb_r3,lora,imdb,0.9332,0.9329,702722,9.071221233333334
roberta_lora_imdb_r4,lora,imdb,0.9336,0.9335,739586,8.7247683
roberta_lora_imdb_r6,lora,imdb,0.9344,0.9343,813314,9.85835455
roberta_lora_imdb_r8,lora,imdb,0.9328,0.9327,887042,9.483064083333334
roberta_lora_imdb_r12,lora,imdb,0.9328,0.9326,1034498,9.63577605
roberta_ba_imdb_r1_nowarm,ba_lora,imdb,0.924,0.9241,628994,7.192487766666667
roberta_ba_imdb_r2_nowarm,ba_lora,imdb,0.9292,0.929,665858,7.204158250000001
roberta_ba_imdb_r3_nowarm,ba_lora,imdb,0.9284,0.928,702722,6.93305535
roberta_ba_imdb_r4_nowarm,ba_lora,imdb,0.9308,0.9304,739586,7.237412183333333
roberta_ba_imdb_r6_nowarm,ba_lora,imdb,0.932,0.9317,813314,7.161209533333333
roberta_ba_imdb_r8_nowarm,ba_lora,imdb,0.9328,0.9326,887042,7.135743649999999
roberta_ba_imdb_r12_nowarm,ba_lora,imdb,0.9328,0.933,1034498,7.229856716666666
